Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
Thank you all for checking on me. Everyone wore their shark costumes and the anger I feared was replaced by apathy and depression. It also turns out that many in my neighborhood would much rather the large man in the shark costume leave their porch than talk about relief pitching,relief,2019-11-01 02:31:06,TelcoAg,Twitter for Android,1190093880580100098,https://twitter.com/statuses/1190093880580100098
So we didn't get a group picture of all of our Halloween Crew tonight as they had to hurry out to hit up the houses on the street for candy because of the torrential rain and 50 mph wind. Usually we do a group shot… https://t.co/kLhhRdhn5r,torrential,2019-11-01 02:31:06,yarnalchemist,Instagram,1190093881049862145,https://twitter.com/statuses/1190093881049862145
Feels v on brand that 4 friends texted me not to congratulate me about MCR but to “make sure you’re not dead”,dead,2019-11-01 02:31:06,virgoMadiClaire,Twitter for iPhone,1190093881448251392,https://twitter.com/statuses/1190093881448251392
"After the gore and intensity of Dead Space 2, Luigi's Mansion 3's chill vibe and humor is exactly what I need rn",dead,2019-11-01 02:31:06,TheDarkestLink,Twitter for Android,1190093881532125185,https://twitter.com/statuses/1190093881532125185
Sonia is right. Indira Gandhi thought much ahead of time and dropped emergency prematurely.,emergency,2019-11-01 02:31:07,as_kapoor,Twitter for Android,1190093882039472128,https://twitter.com/statuses/1190093882039472128
i left a gc and my dms are completely dead... damn,dead,2019-11-01 02:31:07,samtprice,Twitter for iPhone,1190093882245210113,https://twitter.com/statuses/1190093882245210113
@24pnut24 I’m sorry but it is disrespectful.  It’s disrespectful to 99% of the military who fought for those rights.  It has nothing to do with color of skin.  I personally don’t look at color I look at “people” period. I feel those making a black issue out of it is as bad as the kneeling,military,2019-11-01 02:31:07,MissyDotson,Twitter for iPhone,1190093882232573952,https://twitter.com/statuses/1190093882232573952
This is the end result of November 2018 election. American citizens demand Congress to hold a lawless president accountable for his lawless activities. No one is above the law including a president of this nation.,,2019-11-01 02:31:07,tuan007,Twitter for iPad,1190093882521833472,https://twitter.com/statuses/1190093882521833472
@Being_wokes Must be sad that you can’t Stan KD because he’s injured,injured,2019-11-01 02:31:07,HotPelicans,Twitter for iPhone,1190093883776086016,https://twitter.com/statuses/1190093883776086016
Weight loss: Swearing while exercising really DOES help - and will blast belly fat faster https://t.co/ABdWpKIl36,blast,2019-11-01 02:31:07,blackthorneward,Sociible App,1190093884094918657,https://twitter.com/statuses/1190093884094918657
"Farmers who everyday work in multifunctional landscapes to achieve multiple objectives at household, national and global scales including contributing to climate change mitigation and adaptation are my heros and heroines. During these short rains don't stop your good works",climate change,2019-11-01 02:31:07,ThomasYatich2,Twitter for Android,1190093885072183296,https://twitter.com/statuses/1190093885072183296
Watching evil dead for the first time and I can’t deal with this shit https://t.co/qzV61OPPn0,dead,2019-11-01 02:31:07,OGsportyspice,Twitter for iPhone,1190093884614946822,https://twitter.com/statuses/1190093884614946822
Woman Pretending to Be Wolf in Sex Attack Allegedly Bit ...https://t.co/N5FeMRcJCq,attack,2019-11-01 02:31:07,ChelSquishBud,Twitter Web App,1190093885701312512,https://twitter.com/statuses/1190093885701312512
Vsf Neil Gaiman eu não POSSO,,2019-11-01 02:31:07,ex_centrica,Twitter for Android,1190093885890015232,https://twitter.com/statuses/1190093885890015232
"here are still many legitimate journalists' doubts about the operation in Culiacán. If there is no more war against the narcos, then who authorizes the detention of the Chapo's son? Anyway, the security strategy doesn't work: amlo has more than 28,000 people dead. More than ever.","people dead, dead",2019-11-01 02:31:07,bscottnewskona,Twitter Web Client,1190093885797593089,https://twitter.com/statuses/1190093885797593089
@dey_callmerozey Ise freak out right then and there do what I have to do say what I have to say then that dead,dead,2019-11-01 02:31:08,AsianDaSlime,Twitter for iPhone,1190093886200393733,https://twitter.com/statuses/1190093886200393733
@realDonaldTrump Praying for you! You are the people’s president keep fighting!,praying,2019-11-01 02:31:08,GazawayJames,Twitter for iPhone,1190093886385016832,https://twitter.com/statuses/1190093886385016832
"My sidewalk doesn't normally flood

How's your street @Erinfor4B02",flood,2019-11-01 02:31:08,ZeeJayThorne,Twitter for Android,1190093886674395138,https://twitter.com/statuses/1190093886674395138
"""Exclusive: The Trump administration is withholding $105 million in military aid for Lebanon, two days after Prime Minister Hariri resigned. One official said the move could >>>pave the way for Russia to move in<<<"" https://t.co/CIgbxBCWc4",military,2019-11-01 02:31:08,RichlandCoDems,Facebook,1190093886653378565,https://twitter.com/statuses/1190093886653378565
@AmberFrmThVault Instead of helping people they are just going to spend massive amounts of money on old grape juice and fish eggs,massive,2019-11-01 02:31:08,SniperKeiper,Twitter for Android,1190093886640852992,https://twitter.com/statuses/1190093886640852992
IMMMM OKAYYYY NOWWWW,,2019-11-01 02:31:08,dvedvedx,Twitter for Android,1190093886812635137,https://twitter.com/statuses/1190093886812635137
@jakynski Stay strong. So sorry.,stay strong,2019-11-01 02:31:08,sarrahh011,Twitter for iPhone,1190093889304190978,https://twitter.com/statuses/1190093889304190978
Eduardo tem razão! Fora esquerda maldita !,,2019-11-01 02:31:08,ciramoreno,Twitter for iPad,1190093889732038663,https://twitter.com/statuses/1190093889732038663
"Don't forget to pray for those who lost their lives in yesterday's tragic train incident.
Jumma Mubarak.",tragic,2019-11-01 02:31:09,ArbashMirza,Twitter for Android,1190093891183230976,https://twitter.com/statuses/1190093891183230976
Nuts! https://t.co/b4LRCGUpxv,,2019-11-01 02:31:09,pastorlesliem,Facebook,1190093891401334784,https://twitter.com/statuses/1190093891401334784
"No one bc the house is dead ass quiet:

My brother: “we was rapin em”

My mom: “CALIX-MANUEL?!?!!!?”

Me: *fucking dies*

My mom: “NO DIGAS ESA MIERDA!!!”

Me: *falls on the floor dying of fucking laughter*",dead,2019-11-01 02:31:09,taimecca,Twitter for iPhone,1190093891413741569,https://twitter.com/statuses/1190093891413741569
Michelle's massive armpits!  And she insists in bare arms as if hers are like Melania's or Ivanka's. Delusional dude,massive,2019-11-01 02:31:09,Giorgi033,Twitter for Android,1190093891522957312,https://twitter.com/statuses/1190093891522957312
